                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        8845      1.3800000000000001E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62                                       63 
                            model_number                                 star_age                                star_mass                                   log_dt                                num_zones                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                             tau10_radius                                tau10_lgP                                  tau10_T                              tau10_lgRho                                  tau10_L                            tau100_radius                               tau100_lgP                                 tau100_T                               tau100_lgT                             tau100_lgRho                                 tau100_L                             kh_timescale                                   log_LH                                  log_LHe                                 delta_nu                                 delta_Pg                                    log_L                                 log_Teff                              effective_T                                radius_cm                                 log_R_cm                                    log_g                             log_center_T                           log_center_Rho                             log_center_P                           log_average_h1                           log_average_h2                          log_average_he3                          log_average_he4                          log_average_li7                              num_retries                              num_backups                                     chi2                                 delta_nu                           delta_nu_model                             correction_r                                  a_div_r 
                                       1                  1.0000000000000001E-005                  1.3799999999999999E+000                 -4.9999999999999991E+000                                      920                  9.2802479385597803E-001                  3.9396652158752110E-001                  3.7577887634368218E-001                  2.4071924151264289E-004                  9.3484090392907015E-001                  2.4071924151264289E-004                  9.9469694931106345E-001                  9.7298102227602301E-001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0417779879265844E+001                  3.6667830909661294E+000                  7.3566594531257251E+003                 -8.0156269178832424E+000                  6.4428298455459674E+002                  4.0367919582794983E+001                  3.7317059788415916E+000                  8.5418659232131977E+003                  3.9315527502720689E+000                 -8.0359136862580129E+000                  6.0705863438520760E+002                  1.6310263066907905E+003                 -2.1913775593671311E+001                 -9.8999999999999986E+001                  6.1308977596584224E-001                  0.0000000000000000E+000                  2.8293087656625184E+000                  3.6646726194785777E+000                  4.6203259998054964E+003                  2.8259517340806489E+012                  1.2451164740031491E+001                  1.3606324791609019E+000                  5.4690446743836603E+000                 -3.5798232096604501E+000                  1.0018234760565873E+001                 -1.4747722082885134E-001                 -3.7022309698751300E+001                 -4.5666754683482846E+000                 -5.6671889996809310E-001                 -7.9894882288647135E+000                                        0                                        0                 -1.0000000000000000E+000                  5.1809200000000004E+000                  6.1308977596584224E-001                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       2                  1.8000000000000000E-005                  1.3799999999999999E+000                 -5.0969100130080562E+000                                      913                  9.2596200143347351E-001                  7.7014618588718520E-001                  7.6249248988827512E-002                  4.3451090805291914E-002                  9.3102144511082108E-001                  7.5796291586665998E-001                  8.2079267569126743E-002                  4.3450918384425365E-002                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0416332714817827E+001                  3.6675847121980092E+000                  7.3569469079737464E+003                 -8.0148314740528956E+000                  6.4093704105851714E+002                  4.0366475233635619E+001                  3.7325312363180605E+000                  8.5380572100994614E+003                  3.9313590605109434E+000                 -8.0347637236395872E+000                  6.0349910887719113E+002                  1.6478427340369865E+003                 -2.1913775463997737E+001                 -9.8999999999999986E+001                  6.1312057968653422E-001                  0.0000000000000000E+000                  2.8248685166847167E+000                  3.6635698305299149E+000                  4.6086086489134159E+003                  2.8258570810768574E+012                  1.2451150193439915E+001                  1.3606615723440512E+000                  5.4690446792106551E+000                 -3.5798231894128452E+000                  1.0018234785618775E+001                 -1.4747722082885134E-001                 -3.5972890830300699E+001                 -4.5666754683482846E+000                 -5.6671889996809310E-001                 -7.9894882288647135E+000                                        0                                        0                 -1.0000000000000000E+000                  5.1809200000000004E+000                  6.1312057968653422E-001                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       3                  2.7600000000000003E-005                  1.3799999999999999E+000                 -5.0177287669604311E+000                                      917                  9.1119772598998772E-001                  7.6907461952711842E-001                  7.6249248988827734E-002                  4.3450919648770750E-002                  9.1716483794145909E-001                  7.5859844167752710E-001                  8.2079281531451789E-002                  4.3450918384457415E-002                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0414582011804733E+001                  3.6685582676646078E+000                  7.3525945588031918E+003                 -8.0135631875048023E+000                  6.3927984318938104E+002                  4.0364692767997866E+001                  3.7335918189080708E+000                  8.5345687033983231E+003                  3.9311815788231059E+000                 -8.0333967157397481E+000                  6.0069656401624582E+002                  1.6571816849771544E+003                 -2.1913775304871795E+001                 -9.8999999999999986E+001                  6.1315426469471346E-001                  0.0000000000000000E+000                  2.8224300595815248E+000                  3.6629681694538667E+000                  4.6022284144372579E+003                  2.8257535835874937E+012                  1.2451134287040414E+001                  1.3606933851430520E+000                  5.4690446855517898E+000                 -3.5798231650839121E+000                  1.0018234816270562E+001                 -1.4747722082885134E-001                 -3.5937191108111392E+001                 -4.5666754683482846E+000                 -5.6671889996809310E-001                 -7.9894882288647135E+000                                        0                                        0                 -1.0000000000000000E+000                  5.1809200000000004E+000                  6.1315426469471346E-001                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       4                  3.9120000000000005E-005                  1.3799999999999999E+000                 -4.9385475209128060E+000                                      914                  9.1119772598998749E-001                  7.6907461944349520E-001                  7.6249248988827512E-002                  4.3450919333253325E-002                  9.1716483794145887E-001                  7.5874765983496084E-001                  8.2079281561230288E-002                  4.3450918384457866E-002                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0412418906651325E+001                  3.6698293289375137E+000                  7.3494031694041641E+003                 -8.0120625180474097E+000                  6.3725402119014450E+002                  4.0362511482747919E+001                  3.7349323348018508E+000                  8.5313316694211680E+003                  3.9310168261900591E+000                 -8.0317590984538558E+000                  5.9865633653453745E+002                  1.6649794599812649E+003                 -2.1913775113172591E+001                 -9.8999999999999986E+001                  6.1319373563880419E-001                  0.0000000000000000E+000                  2.8204099417139159E+000                  3.6624724587193391E+000                  4.5969783534315375E+003                  2.8256323208154033E+012                  1.2451115649575666E+001                  1.3607306600725493E+000                  5.4690446935489794E+000                 -3.5798231363411608E+000                  1.0018234852996184E+001                 -1.4747722082885134E-001                 -3.5897897340393911E+001                 -4.5666754683482846E+000                 -5.6671889996809310E-001                 -7.9894882288647135E+000                                        0                                        0                 -1.0000000000000000E+000                  5.1809200000000004E+000                  6.1319373563880419E-001                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       5                  5.2944000000000007E-005                  1.3799999999999999E+000                 -4.8593662748651818E+000                                      917                  9.1242128883045814E-001                  7.6907461940820232E-001                  7.6249248988827734E-002                  4.3450919239252143E-002                  9.1716483794145909E-001                  7.5921476131227250E-001                  8.2079281577507865E-002                  4.3450918384458304E-002                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0409825980179860E+001                  3.6713671532511412E+000                  7.3442154858205549E+003                 -8.0101662305417332E+000                  6.3619675700126982E+002                  4.0359865243279700E+001                  3.7365982267067226E+000                  8.5285454520212807E+003                  3.9308749683273909E+000                 -8.0298163647319711E+000                  5.9675346545435696E+002                  1.6733613415931459E+003                 -2.1913774882240364E+001                 -9.8999999999999986E+001                  6.1324088541699195E-001                  0.0000000000000000E+000                  2.8182513520269752E+000                  3.6619439421469506E+000                  4.5913874431164486E+003                  2.8254874841531914E+012                  1.2451093387876973E+001                  1.3607751834699364E+000                  5.4690447036387893E+000                 -3.5798231024429970E+000                  1.0018234896976743E+001                 -1.4747722082885134E-001                 -3.5855004625492136E+001                 -4.5666754683482846E+000                 -5.6671889996809310E-001                 -7.9894882288647135E+000                                        0                                        0                 -1.0000000000000000E+000                  5.1809200000000004E+000                  6.1324088541699195E-001                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       6                  6.9532799999999999E-005                  1.3799999999999999E+000                 -4.7801850288175567E+000                                      918                  9.1242128883045814E-001                  7.6907461937403665E-001                  7.6249248988827734E-002                  4.3450919153031536E-002                  9.1831386669637260E-001                  7.5925694566251600E-001                  8.2079281596257547E-002                  4.3450918384458505E-002                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0407127138880206E+001                  3.6726234454644953E+000                  7.3197755891732759E+003                 -8.0072398559608882E+000                  6.3183316023499060E+002                  4.0356853202156103E+001                  3.7384264685049193E+000                  8.5231677609303024E+003                  3.9306010367154225E+000                 -8.0274837023242878E+000                  5.9578158630128667E+002                  1.6827053036326713E+003                 -2.1913774604145740E+001                 -9.8999999999999986E+001                  6.1329683632484411E-001                  0.0000000000000000E+000                  2.8158594349709385E+000                  3.6613591703422386E+000                  4.5852093606322223E+003                  2.8253156358905679E+012                  1.2451066972958378E+001                  1.3608280133071256E+000                  5.4690447163572031E+000                 -3.5798230625507914E+000                  1.0018234949590797E+001                 -1.4747722082885134E-001                 -3.5808567049829392E+001                 -4.5666754683482846E+000                 -5.6671889996809310E-001                 -7.9894882288647135E+000                                        0                                        0                 -1.0000000000000000E+000                  5.1809200000000004E+000                  6.1329683632484411E-001                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       7                  8.9439360000000007E-005                  1.3799999999999999E+000                 -4.7010037827699316E+000                                      922                  9.1242128883045837E-001                  7.6907461934140309E-001                  7.6249248988827956E-002                  4.3450919072029560E-002                  9.1831386669637283E-001                  7.5929784015027424E-001                  8.2079281617756641E-002                  4.3450918384458921E-002                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0403623623692994E+001                  3.6746208894728278E+000                  7.3135821829035458E+003                 -8.0048087929058980E+000                  6.2930888297487206E+002                  4.0353365028566202E+001                  3.7404952980333603E+000                  8.5165043325603929E+003                  3.9302613716909733E+000                 -8.0248222310557153E+000                  5.9260558901804882E+002                  1.6931881189865217E+003                 -2.1913774269895583E+001                 -9.8999999999999986E+001                  6.1336131408418737E-001                  0.0000000000000000E+000                  2.8131927236741605E+000                  3.6607077112840898E+000                  4.5783365196247578E+003                  2.8251176305612671E+012                  1.2451036535426287E+001                  1.3608888883713077E+000                  5.4690447323399756E+000                 -3.5798230157426070E+000                  1.0018235012401028E+001                 -1.4747722082885134E-001                 -3.5758694201615825E+001                 -4.5666754683482846E+000                 -5.6671889996809310E-001                 -7.9894882288647135E+000                                        0                                        0                 -1.0000000000000000E+000                  5.1809200000000004E+000                  6.1336131408418737E-001                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       8                  1.1332723200000000E-004                  1.3799999999999999E+000                 -4.6218225367223074E+000                                      918                  9.1242128883045814E-001                  7.6907461930946575E-001                  8.2079281625872025E-002                  4.3450918999672204E-002                  9.1831386669637260E-001                  7.5933678601516308E-001                  8.7985595346654247E-002                  4.3450918384459566E-002                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0398872477463257E+001                  3.6778319541302045E+000                  7.3232009671171745E+003                 -8.0022267096628354E+000                  6.2835851517869912E+002                  4.0349608949462272E+001                  3.7424862822394411E+000                  8.5015912099477464E+003                  3.9295002185407517E+000                 -8.0215932509042283E+000                  5.9146832591129214E+002                  1.7068451463945839E+003                 -2.1913773864934022E+001                 -9.8999999999999986E+001                  6.1344089665655765E-001                  0.0000000000000000E+000                  2.8097413780863891E+000                  3.6598636566553258E+000                  4.5694471288740233E+003                  2.8248732875544082E+012                  1.2450998971889929E+001                  1.3609640154440230E+000                  5.4690447525630503E+000                 -3.5798229606587078E+000                  1.0018235087751048E+001                 -1.4747722082885134E-001                 -3.5705544346163130E+001                 -4.5666754683482846E+000                 -5.6671889996809310E-001                 -7.9894882288647135E+000                                        0                                        0                 -1.0000000000000000E+000                  5.1809200000000004E+000                  6.1344089665655765E-001                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
                                       9                  1.4199267840000001E-004                  1.3799999999999999E+000                 -4.5426412906746823E+000                                      919                  9.1242128883045837E-001                  7.6907461927783094E-001                  8.2079281625872247E-002                  4.3450918934564702E-002                  9.1831386669637283E-001                  7.5937324175698384E-001                  8.7991643778014383E-002                  4.3450918384459927E-002                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  4.0393920236103746E+001                  3.6807210236370489E+000                  7.3150269252299995E+003                 -7.9987644534287510E+000                  6.2289902522220939E+002                  4.0345184468106190E+001                  3.7448489709906441E+000                  8.4857795313883362E+003                  3.9286917441940568E+000                 -8.0179034670581810E+000                  5.8883234552282408E+002                  1.7219110040287228E+003                 -2.1913773378233106E+001                 -9.8999999999999986E+001                  6.1353230305066020E-001                  0.0000000000000000E+000                  2.8059679366131429E+000                  3.6589418655126242E+000                  4.5597587511585052E+003                  2.8245927069539502E+012                  1.2450955833438710E+001                  1.3610502923464607E+000                  5.4690447778597573E+000                 -3.5798228962419900E+000                  1.0018235177538525E+001                 -1.4747722082885134E-001                 -3.5649315136127740E+001                 -4.5666754683482846E+000                 -5.6671889996809310E-001                 -7.9894882288647135E+000                                        0                                        0                 -1.0000000000000000E+000                  5.1809200000000004E+000                  6.1353230305066020E-001                 -1.0000000000000000E+000                 -1.0000000000000000E+000 
